timestamp,import_price,export_price
2020-01-02 05:45:00+00:00,0.1098,0.045
2020-01-02 06:00:00+00:00,0.1295,0.0525
2020-01-02 06:15:00+00:00,0.1295,0.0525
2020-01-02 06:30:00+00:00,0.1295,0.0525
2020-01-02 06:45:00+00:00,0.1295,0.0525
2020-01-02 07:00:00+00:00,0.1366,0.0552
2020-01-02 07:15:00+00:00,0.1366,0.0552
2020-01-02 07:30:00+00:00,0.1366,0.0552
2020-01-02 07:45:00+00:00,0.1366,0.0552
2020-01-02 08:00:00+00:00,0.1375,0.0555
2020-01-02 08:15:00+00:00,0.1375,0.0555
2020-01-02 08:30:00+00:00,0.1375,0.0555
2020-01-02 08:45:00+00:00,0.1375,0.0555
2020-01-02 09:00:00+00:00,0.1383,0.0558
2020-01-02 09:15:00+00:00,0.1383,0.0558
2020-01-02 09:30:00+00:00,0.1383,0.0558
2020-01-02 09:45:00+00:00,0.1383,0.0558
2020-01-02 10:00:00+00:00,0.1371,0.0554
2020-01-02 10:15:00+00:00,0.1371,0.0554
2020-01-02 10:30:00+00:00,0.1371,0.0554
2020-01-02 10:45:00+00:00,0.1371,0.0554
2020-01-02 11:00:00+00:00,0.1372,0.0554
2020-01-02 11:15:00+00:00,0.1372,0.0554
2020-01-02 11:30:00+00:00,0.1372,0.0554
2020-01-02 11:45:00+00:00,0.1372,0.0554
2020-01-02 12:00:00+00:00,0.1366,0.0552
2020-01-02 12:15:00+00:00,0.1366,0.0552
2020-01-02 12:30:00+00:00,0.1366,0.0552
2020-01-02 12:45:00+00:00,0.1366,0.0552
2020-01-02 13:00:00+00:00,0.1345,0.0544
2020-01-02 13:15:00+00:00,0.1345,0.0544
2020-01-02 13:30:00+00:00,0.1345,0.0544
2020-01-02 13:45:00+00:00,0.1345,0.0544
2020-01-02 14:00:00+00:00,0.1365,0.0551
2020-01-02 14:15:00+00:00,0.1365,0.0551
2020-01-02 14:30:00+00:00,0.1365,0.0551
2020-01-02 14:45:00+00:00,0.1365,0.0551
2020-01-02 15:00:00+00:00,0.3133,0.1357
2020-01-02 15:15:00+00:00,0.3133,0.1357
2020-01-02 15:30:00+00:00,0.3133,0.1357
2020-01-02 15:45:00+00:00,0.3133,0.1357
2020-01-02 16:00:00+00:00,0.3174,0.1372
2020-01-02 16:15:00+00:00,0.3174,0.1372
